City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Narsaq,GL,2021-09-06 19:23:35,60.9167,-46.05,53.82,62,0,7.36
68,Victoria,HK,2021-09-06 19:23:36,22.2855,114.1577,85.32,81,100,1.01
69,Port Alfred,ZA,2021-09-06 19:23:36,-33.5906,26.891,57.24,84,100,8.55
70,Meulaboh,ID,2021-09-06 19:23:37,4.1363,96.1285,77.43,89,93,7.2
71,Lins,BR,2021-09-06 19:23:37,-21.6786,-49.7425,99.63,15,0,1.19
72,Hobart,AU,2021-09-06 19:19:11,-42.8794,147.3294,51.66,57,40,8.01
73,Saint George,US,2021-09-06 19:21:26,37.1041,-113.5841,102.67,18,1,1.01
74,Sechura,PE,2021-09-06 19:23:38,-5.5569,-80.8222,73.13,67,100,8.86
75,Labuhan,ID,2021-09-06 19:23:39,-6.8844,112.2051,77.43,82,91,7.07
76,Mataura,NZ,2021-09-06 19:23:39,-46.1927,168.8643,45.48,99,100,1.12
77,Arraial Do Cabo,BR,2021-09-06 19:23:39,-22.9661,-42.0278,75.16,88,75,13.8
78,Touros,BR,2021-09-06 19:19:57,-5.1989,-35.4608,83.3,61,62,17.25
79,Saint-Philippe,RE,2021-09-06 19:23:40,-21.3585,55.7679,67.55,77,49,16.58
80,Kavieng,PG,2021-09-06 19:23:41,-2.5744,150.7967,82.35,72,100,15.48
81,Jumla,NP,2021-09-06 19:23:41,29.2747,82.1838,63.03,95,88,1.86
82,Villa Bruzual,VE,2021-09-06 19:23:42,9.3328,-69.1208,84.83,71,21,2.73
83,Pacific Grove,US,2021-09-06 19:20:41,36.6177,-121.9166,100.15,74,1,1.99
84,Portland,US,2021-09-06 19:23:15,45.5234,-122.6762,77.83,54,20,1.01
85,Zlobin,HR,2021-09-06 19:23:43,45.2924,14.6541,65.5,40,0,12.66
86,Aripuana,BR,2021-09-06 19:23:43,-9.1667,-60.6333,97.2,30,100,2.39
87,Norman Wells,CA,2021-09-06 19:23:44,65.282,-126.8329,59.04,82,75,13.8
88,Souillac,MU,2021-09-06 19:23:44,-20.5167,57.5167,70.36,73,75,12.66
89,Svolvaer,NO,2021-09-06 19:23:45,68.2342,14.5683,53.78,100,75,17.27
90,Katubao,PH,2021-09-06 19:23:45,5.8892,124.8294,79.47,82,100,7.67
91,Lebu,CL,2021-09-06 19:23:45,-37.6167,-73.65,50.9,86,94,14.81
